Product Name,Name,Description,Quantity On Hand,U/M
Piaz Black Lid Retial,Label Cap,LABELS - Cap Labels (OLD),3995,each (ea)
Zukti Stout Glass,Bottle Zutki Stout,PA-12 oz Stout Bottle,2190,each (ea)
Zukti 12 Oz Plastic,Label Piaz 7.16 oz Glass,LABELS-Piaz Gourmet Onion Relish 8.5oz,2080,each (ea)
Piaz Baby Food,Cap Piaz Baby Food,LABELS-Piaz (Amazon) 5.12oz,1775,each (ea)
Zukti 10 oz Glass Deep Finish,Cap w/ Button Piaz 7.16 oz Glass,PA-70mm TNV Silver Cap,1526,each (ea)
Piaz 7.16 oz Glass Deep Finish,Label,LABELS - Zukti - 11.6 oz (OLD),1503,each (ea)
,Label,PA-70 Tist Black Lid w/ Button,1175,each (ea)
,Label Piaz Baby Food,LABELS-Zukti Flavorsome Tamarind Sauce 13.75oz,980,each (ea)
,Label Zukti 12 oz Plastic,LABELS-Zukit 11.66 fl oz 345ml,970,each (ea)
,Bottle,PA-345 ML Flt Gls Straight Sided Jar 6pk,776,each (ea)
,Liner,PA-38-400 Black PP F828/Liner,584,Case (cs)
,Bottle,PA-7.75 oz Straight Sided Jar R-107,324,each (ea)
,Jaggery,RM-Jaggery,299,pound (lb)
,Tamarind Dry,RM-Tamarind Dried,153.65,pound (lb)
,Bottle Piaz 7.16 oz Glass,PA-212 ml Jar- 12 pk,108,each (ea)
,Label Piaz 7.16 oz Glass,LABELS-Piaz Gourmet Onion Relish 10.6 fl oz (OLD),70,each (ea)
,Case,FG-Zukti Sauce 12oz 12pk,24.92,Case (cs)
,BlackSalt,RM-Black Salt - Kala Namak,7.49,pound (lb)
